time,open,high,low,close,mama,fama,kama,signal
1767931200,91233.7,91245.0,90943.4,91026.1,90692.8751625316,91548.02237422566,91788.99746100712,0
1767934800,91026.1,91134.0,90923.4,91099.5,90800.46638271246,91449.1222900828,91752.6528660262,0
1767938400,91099.5,91157.0,90997.8,91148.1,90807.29793350896,91442.81585785598,91752.46302326913,0
1767942000,91148.1,91148.1,90746.1,90754.2,90800.21776383142,91399.97329092825,91737.00169755574,0
1767945600,90754.2,90857.1,89696.0,90028.1,90799.5627676757,91399.71862343904,91737.0004781858,0
1767949200,90028.1,90483.9,90008.1,90343.0,90763.45219281688,91374.55675282692,91728.95626131725,0
1767952800,90343.0,90554.9,90280.8,90485.8,90760.79558216938,91371.62048129158,91728.8530805807,0
1767956400,90485.8,90679.0,90405.3,90453.1,90735.90387618307,91345.906639849,91721.1658497251,0
1767960000,90453.1,90600.9,90230.0,90448.3,90730.81651184482,91340.46654004308,91720.81467571114,0
1767963600,90448.3,90996.9,90398.1,90600.7,90728.10725005704,91334.09132447188,91720.42490438512,0
1767967200,90600.7,90668.9,89934.6,90145.4,90713.61637687784,91326.3762807895,91719.67803305884,0
1767970800,90145.4,92024.5,89837.0,91175.2,90715.975629685,91324.81633652646,91719.6645265767,0
1767974400,91175.2,91783.0,91173.1,91626.3,90728.31606254684,91320.7732328685,91719.6496162626,0
1767978000,91626.3,91681.9,91012.0,91422.7,90748.4647339174,91312.47000518278,91719.40679752424,0
1767981600,91422.7,91509.0,90339.2,90820.3,90748.99517177229,91310.3896315849,91719.36132707684,0
1767985200,90820.3,90820.3,90176.1,90329.6,90694.38580163088,91270.28475744398,91698.7667223018,0
1767988800,90329.6,90584.6,90232.1,90298.1,90687.31681358934,91265.08523552476,91698.39406557864,0
1767992400,90298.1,90640.0,90115.8,90538.6,90685.99504014142,91262.51180073374,91698.3104106816,0
1767996000,90538.6,90705.0,90344.6,90629.4,90685.59626671868,91260.4793029959,91698.2610155467,0
1767999600,90629.4,90729.8,90604.0,90643.1,90685.15645500728,91257.50217410986,91698.1593908839,0
1768003200,90643.1,90689.3,90517.2,90603.0,90678.88099579664,91235.40340169698,91692.24838178436,0
1768006800,90603.0,90735.3,90579.4,90693.8,90678.9899247988,91233.37211448762,91692.198970026,0
1768010400,90693.8,90785.0,90607.0,90697.2,90679.13890821303,91231.10492024387,91692.13770726533,0
1768014000,90697.2,90697.2,90555.1,90633.3,90679.03194810644,91230.46081912708,91692.13207593304,0
1768017600,90633.3,90649.4,90407.6,90459.0,90658.552033118,91203.845040329,91682.42025367032,0
1768021200,90459.0,90623.7,90432.0,90607.5,90658.24947967398,91202.22833864414,91682.3847046684,0
1768024800,90607.5,90617.4,90478.9,90512.5,90658.16134271596,91202.0638357928,91682.38427944716,0
1768028400,90512.5,90690.5,90510.0,90679.1,90658.26536400642,91200.7130658264,91682.36073312952,0
1768032000,90679.1,90753.2,90616.9,90669.1,90658.3178909612,91199.39828391648,91682.33805836592,0
1768035600,90669.1,90771.0,90625.5,90771.0,90662.5785901706,91189.24925820043,91681.08389905088,0
1768039200,90771.0,90834.5,90724.5,90834.5,90665.45962525034,91184.8604612832,91680.88432784402,0
1768042800,90834.5,90834.5,90702.5,90729.0,90666.34900711912,91181.23162931684,91680.72302554776,0
1768046400,90729.0,90796.9,90671.6,90733.8,90688.3077928737,91100.99553155548,91610.37723447075,0
1768050000,90733.8,90768.0,90640.5,90659.0,90687.45111734964,91094.95151829088,91609.78460820676,0
1768053600,90659.0,90667.8,90539.4,90598.2,90686.49400889696,91092.76141610274,91609.68041741088,0
1768057200,90598.2,90672.5,90582.0,90665.9,90686.07378165396,91088.61212141598,91609.36354491468,0
1768060800,90665.9,90730.7,90606.8,90678.9,90685.90614689364,91083.9069656999,91608.96725640658,0
1768064400,90678.9,90741.6,90538.9,90547.0,90685.1390123546,91082.80583131198,91608.9350450154,0
1768068000,90547.0,90596.3,90504.0,90588.1,90684.86661983028,91082.24731539292,91608.92722556878,0
1768071600,90588.1,90621.9,90575.8,90621.8,90684.77654278323,91081.963464811,91608.92524049304,0
1768075200,90621.8,90651.2,90565.6,90570.9,90684.53318767884,91081.5388089327,91608.92060079797,0
1768078800,90570.9,90571.1,90492.4,90503.0,90682.19161573391,91078.96324631566,91608.75956599409,0
1768082400,90503.0,90597.5,90395.0,90422.7,90636.41663435807,91039.93007203948,91578.07541180876,0
1768086000,90422.7,90574.9,90422.7,90514.7,90635.50541147996,91038.4162238908,91578.0201915185,0
1768089600,90514.7,90646.9,90452.8,90630.6,90635.06994646728,91020.51322099911,91571.37009347756,0
1768093200,90630.6,90675.0,90558.6,90635.0,90635.06855432148,91016.67746492558,91571.00651485562,0
1768096800,90635.0,90730.4,90610.0,90691.5,90635.82058147877,91014.13974224332,91570.87044258184,0
1768100400,90691.5,90734.4,90629.6,90734.3,90636.2663797322,91013.28446056336,91570.85406677636,0
1768104000,90734.3,90787.9,90664.1,90787.9,90637.69267221737,91011.51801937351,91570.79115671317,0
1768107600,90787.9,90859.5,90739.4,90778.9,90638.64604192038,91010.2592856662,91570.7553027976,0
1768111200,90778.9,90805.2,90586.1,90741.0,90639.4822232293,91008.74475288604,91570.70435599163,0
1768114800,90741.0,90749.5,90673.0,90709.9,90639.6079105049,91008.4153204176,91570.70166237348,0
1768118400,90709.9,90817.5,90611.9,90791.1,90640.36504061637,91007.495595994,91570.68315039545,0
1768122000,90791.1,90811.0,90670.6,90730.9,90640.9401323718,91006.33138812076,91570.65138354345,0
1768125600,90730.9,90739.0,90680.0,90730.5,90642.04594389648,91004.08243971804,91570.538626651,0
1768129200,90730.5,90775.1,90692.7,90754.8,90643.0209303363,91002.5213868932,91570.4827932214,0
1768132800,90754.8,91005.9,90711.8,90934.0,90705.17345538964,90970.7649365346,91547.31529392902,0
1768136400,90934.0,90967.4,90821.5,90855.0,90709.21643556662,90967.23607118073,91546.9380344752,0
1768140000,90855.0,91193.2,90854.9,91121.2,90869.93977124128,90948.25741860198,91504.95564436924,0
1768143600,91121.2,91153.0,90700.6,90877.7,90870.06575249736,90947.62272827158,91504.816079313,0
1768147200,90877.7,91288.9,90877.7,91034.5,90915.38243133592,90943.18015257924,91478.26135793528,0
1768150800,91034.5,91140.7,90909.0,90988.1,90917.50655324588,90942.80518229453,91477.9563710142,0
1768154400,90988.1,90990.5,90794.4,90890.1,90916.74333690968,90942.44229780532,91477.6186002102,0
1768158000,90890.1,90930.3,90670.6,90690.5,90914.51637282073,90942.30485722268,91477.5496590445,0
1768161600,90690.5,90749.2,90416.1,90705.1,90913.59030172348,90942.24136715368,91477.53521406556,0
1768165200,90705.1,90837.2,90594.1,90757.1,90912.48729036051,90942.13650734948,91477.50190084046,0
1768168800,90757.1,90757.1,90454.9,90532.6,90892.34807605992,90940.81677395372,91475.06371813954,0
1768172400,90532.6,91044.1,90234.0,91004.0,90905.278010315,90938.75897745036,91469.45670949144,0
1768176000,91004.0,91250.6,90688.1,91250.6,90911.61372880611,90938.50995674085,91469.39593421116,0
1768179600,91250.6,91800.0,91090.7,91409.1,90923.34974168724,90938.33113725428,91469.36982761168,0
1768183200,91409.1,92385.6,91366.0,92210.7,90978.42874010482,90939.1889208255,91470.2083592946,0
1768186800,92210.7,92529.22,91800.1,91802.2,91002.03019183424,90940.08913748548,91470.4083901741,0
1768190400,91802.2,92288.1,91747.4,92172.0,91395.97603760636,91016.84101141892,91525.42346633416,0
1768194000,92172.0,92266.5,92042.5,92110.3,91419.99345275103,91023.61852418612,91525.88103372292,0
1768197600,92110.3,92207.0,91807.4,91833.9,91430.42382968054,91028.7442375886,91526.03044953349,0
1768201200,91833.9,91968.7,91388.4,91406.7,91430.10038380438,91031.48024168478,91526.01118940228,0
1768204800,91406.7,91628.7,90383.7,90745.7,91427.6518706611,91032.18891416912,91526.00155612091,0
1768208400,90745.7,90946.9,90643.5,90686.0,91425.26172637922,91032.82229808655,91525.99311076412,0
1768212000,90686.0,90787.7,90356.6,90431.8,91412.17127312682,91035.32156398291,91525.82734166026,0
1768215600,90431.8,90813.8,90416.1,90610.1,91370.6302278592,91044.00475265416,91523.4965381856,0
1768219200,90610.1,90866.0,90610.0,90784.4,91367.80214730855,91044.78578122507,91523.48015718852,0
1768222800,90784.4,90830.9,90526.8,90627.0,91362.75042870162,91045.86992220108,91523.4412632251,0
1768226400,90627.0,91132.8,90119.5,90903.1,91362.64125605622,91045.90754075024,91523.44122831342,0
1768230000,90903.1,91677.4,90700.0,91674.1,91367.70926195456,91048.5256933192,91523.47489179764,0
1768233600,91674.1,92329.5,91573.2,92127.7,91384.3840949837,91052.21020056964,91523.70544641255,0
1768237200,92127.7,92317.0,91007.8,91516.0,91385.80218698792,91054.00733948137,91523.7046456766,0
1768240800,91516.0,91954.3,91410.0,91689.0,91435.9477749409,91085.5917158805,91527.50918398878,0
1768244400,91689.0,91879.9,91429.2,91864.9,91441.4623716788,91087.8792470354,91527.5580081613,0
1768248000,91864.9,92049.9,91411.1,91482.0,91441.59965664533,91088.47820282792,91527.55750319752,0
1768251600,91482.0,91505.2,90936.9,91052.1,91439.64234438748,91089.36053721137,91527.54609243228,0
1768255200,91052.1,91440.0,91052.1,91242.1,91436.69530445318,91091.95139800328,91527.49168707576,0
1768258800,91242.1,91319.1,91064.1,91295.1,91435.52532223212,91093.37084967407,91527.4771045112,0
1768262400,91295.1,91548.3,91252.0,91476.8,91436.15082036436,91095.96818347568,91527.46678636492,0
1768266000,91476.8,91545.0,91046.1,91184.9,91398.5233751991,91118.62358987302,91520.89118236236,0
1768269600,91184.9,91375.8,91091.4,91127.8,91395.31597616174,91120.2626483636,91520.84235000292,0
1768273200,91127.8,91465.0,91114.1,91417.6,91395.32014783817,91120.28839440692,91520.84234639148,0
1768276800,91417.6,91647.0,91350.7,91512.1,91397.02296516496,91122.30598739616,91520.84074876684,0
1768280400,91512.1,92256.8,91473.0,91926.9,91408.7412452264,91125.47325862144,91520.99785201727,0
1768284000,91926.9,92280.6,91813.9,92188.0,91652.33936290767,91207.8230496812,91567.3944991388,0
1768287600,92188.0,92224.3,91910.0,91946.3,91659.25297932763,91213.13160630452,91567.55769147712,0
1768291200,91946.3,92256.9,91924.2,92173.2,91783.73320644828,91282.23271393268,91595.00229757695,0
1768294800,92173.2,92676.2,91952.0,92278.9,91798.12818781618,91289.7315060882,91595.4244623331,1
1768298400,92278.9,92345.0,92024.9,92129.7,91805.44910052858,91295.42487831468,91595.6305884066,0
1768302000,92129.7,92264.9,91972.0,92005.0,91806.79418196173,91297.14833172344,91595.64795548176,0
1768305600,92005.0,92158.7,91914.8,92115.0,91806.87991657764,91297.21922857074,91595.64799555768,0
1768309200,92115.0,92610.0,91984.1,92069.0,91812.34935710236,91302.59362332088,91595.8265821878,0
1768312800,92069.0,92917.4,91790.1,92467.5,91833.55580847448,91311.18693226587,91596.57934972172,0
1768316400,92467.5,93467.7,92126.1,93467.7,91885.42538844472,91320.30042043886,91597.91361584573,0
1768320000,93467.7,93762.5,93074.3,93394.0,92493.89612030146,91556.98033965848,91784.13823992312,0
1768323600,93394.0,93497.9,93098.1,93245.8,92530.89012171207,91580.9387343575,91786.14976296152,0
1768327200,93245.8,93893.5,93185.5,93631.0,93095.58908134638,91969.68239171174,92054.74789281932,0
1768330800,93631.0,94245.0,93471.1,94229.0,93170.71569619008,92009.48682847648,92059.67023115105,0
1768334400,94229.0,94509.0,94118.0,94402.1,93240.1176287168,92044.16656066867,92063.50825628446,0
1768338000,94402.1,94527.8,94064.2,94091.7,93287.64065968068,92078.86294477832,92066.79148387,0
1768341600,94091.7,96601.4,94091.7,95771.2,93456.45667210658,92125.68282059426,92074.25012734656,0
1768345200,95771.2,96116.8,95071.1,95412.8,94589.24064607684,92838.92133651994,92639.27941598736,0
1768348800,95412.8,95655.0,95159.9,95238.9,94936.15010277684,93398.86747404904,93037.55774860144,0
1768352400,95238.9,95591.7,95126.6,95238.9,94951.42503513324,93438.03381554491,93040.69080327156,0
1768356000,95238.9,95568.4,95198.8,95349.0,95147.37951543136,93859.28009344284,93359.11442801708,0
1768359600,95349.0,95716.8,95278.3,95712.4,95472.99406561942,94324.26212819476,93755.15358258873,0
1768363200,95712.4,95797.1,95224.4,95245.0,95462.65767960536,94350.0673960295,93756.98483909138,0
1768366800,95245.0,95283.8,94968.3,95010.6,95444.77192777857,94371.72349707795,93758.2476202834,0
1768370400,95010.6,95037.9,94538.1,95033.8,95382.96448727176,94447.76545166754,93776.06143877767,0
1768374000,95033.8,95238.4,94864.0,95206.6,95374.69294528112,94469.50202631562,93777.90534617762,0
1768377600,95206.6,95315.7,94892.3,94905.7,95188.1798116833,94612.40699657668,93892.3907497089,0
1768381200,94905.7,95191.2,94886.7,95093.7,95184.18817721626,94624.48545771868,93893.7247781033,0
1768384800,95093.7,95289.6,94887.1,95088.2,95147.0103671826,94725.6767314009,94010.23057331244,0
1768388400,95088.2,95094.7,94741.6,94799.0,95139.35911618215,94730.22427948983,94010.53262439852,0
1768392000,94799.0,95160.2,94678.0,95074.0,95137.60411641894,94735.69368880194,94011.10732639296,0
1768395600,95074.0,95241.8,94894.0,94995.3,95112.6556817021,94768.7377493227,94033.40866323702,0
1768399200,94995.3,96835.6,94976.4,96500.5,95167.156362839,94776.56070378811,94035.86586799438,0
1768402800,96500.5,97101.0,96186.0,96765.9,95748.682312099,94953.36013802169,94277.63096610716,0
1768406400,96765.9,97700.1,96740.7,97292.1,95809.5545911267,94970.24426085503,94280.65299167062,0
1768410000,97292.1,97793.2,96792.1,96958.6,96257.70215295056,95221.30967168996,94544.6214954802,0
1768413600,96958.6,97117.0,96242.0,96807.5,96272.1453618727,95235.11241709684,94545.91755513138,0
1768417200,96807.5,97684.0,96678.1,97262.5,96303.09467634234,95251.80003460114,94547.8062736774,0
1768420800,97262.5,97950.0,97195.6,97646.1,96355.84542553643,95273.4824585239,94550.89311495716,0
1768424400,97646.1,97721.0,97381.6,97565.6,96401.17785645886,95294.61119604122,94553.6886356589,0
1768428000,97565.6,97584.4,96801.0,96876.1,96411.8614184446,95307.17768948332,94554.61436857724,0
1768431600,96876.1,97377.3,96860.0,96950.8,96422.12975807655,95317.7992212362,94555.32637785278,0
1768435200,96950.8,97001.7,96500.0,96652.8,96473.42786981986,95446.29773724434,94637.27288839503,0
1768438800,96652.8,96967.3,96300.1,96451.2,96468.3431598887,95563.19612995438,94711.7211179617,0
1768442400,96451.2,96613.4,96088.5,96334.0,96465.61030776266,95572.37473088362,94712.26281719912,0
1768446000,96334.0,96395.9,95774.2,95983.7,96408.60211787936,95621.83601952546,94728.01277817266,0
1768449600,95983.7,96383.8,95958.0,96314.0,96406.58305047604,95630.2103412932,94728.58925386396,0
1768453200,96314.0,96534.0,96236.1,96426.0,96406.97966529935,95638.14357065596,94729.16019153636,0
1768456800,96426.0,96580.0,96169.3,96242.0,96404.13899170104,95644.7381499486,94729.53480215937,0
1768460400,96242.0,96759.3,96192.1,96635.6,96410.38552074916,95655.06956295308,94730.57365758091,0
1768464000,96635.6,96672.6,96292.4,96643.0,96416.2960760063,95664.74065346963,94731.529835195,0
1768467600,96643.0,97199.9,96562.0,97045.9,96435.11079192792,95676.25129909716,94733.02512928395,0
1768471200,97045.9,97069.9,96752.0,96818.0,96456.87871564143,95698.44131868218,94739.38635000354,0
1768474800,96818.0,96937.7,96588.0,96588.0,96457.49530797946,95700.22602845008,94739.42592861636,0
1768478400,96588.0,97001.9,96520.1,96978.1,96460.51514602896,95702.4311084667,94739.49694812064,0
1768482000,96978.1,97033.8,96612.1,96852.8,96461.31252811445,95703.20238276257,94739.5055030957,0
1768485600,96852.8,97152.0,95590.3,96059.0,96456.1629662817,95708.02129444377,94739.69490012636,0
1768489200,96059.0,96798.3,95421.5,96735.6,96458.58886997844,95711.27928181914,94739.83254926188,0
1768492800,96735.6,96951.3,96267.1,96718.1,96462.81152267625,95717.39358536378,94740.27456375124,0
1768496400,96718.1,97077.6,96407.1,96624.8,96468.27664849,95730.0601357235,94742.08107215958,0
1768500000,96624.8,96628.0,95736.4,95831.5,96353.98115946758,95786.05414766577,94771.16175832428,0
1768503600,95831.5,95918.5,95181.0,95510.5,96153.7098296212,95829.70117612887,94803.5330936966,0
1768507200,95510.5,95657.0,95125.1,95249.7,96132.6708972796,95833.226668472,94803.721781897,0
1768510800,95249.7,95618.0,95190.0,95576.5,96124.765879749,95835.2985339609,94803.85649608274,0
1768514400,95576.5,95858.9,95477.1,95574.0,96055.45732780524,95849.15095997356,94814.56587890834,0
1768518000,95574.0,95717.7,95395.1,95599.7,96052.3949141796,95849.83379820426,94814.59898598152,0
1768521600,95599.7,95830.9,95571.0,95629.0,96047.03776178732,95851.08139430176,94814.71339209254,0
1768525200,95629.0,95850.9,95417.9,95663.7,96041.5619185228,95852.4418674922,94814.8627661896,0
1768528800,95663.7,95694.8,95392.7,95505.7,96034.13220134724,95853.70143432036,94814.97779607296,0
1768532400,95505.7,95585.0,95325.1,95344.1,96016.58417362173,95855.77254840729,94815.23850113113,0
1768536000,95344.1,95583.2,95140.1,95264.1,95815.15138703107,95850.33560101528,94839.36914839376,0
1768539600,95264.1,95689.7,95245.0,95666.0,95811.15507629995,95849.81070629426,94839.81423356108,0
1768543200,95666.0,95827.0,95542.5,95746.6,95809.7725643317,95849.38197772928,94840.14582763708,0
1768546800,95746.6,95791.0,95490.5,95658.0,95780.73803007643,95842.81608402405,94864.62466249842,0
1768550400,95658.0,95855.7,95583.1,95673.0,95777.6038459369,95841.86754634346,94865.1242309062,0
1768554000,95673.0,95785.8,95589.0,95608.4,95772.84613475912,95840.89716668222,94865.55826650442,0
1768557600,95608.4,95633.6,95303.0,95319.3,95764.28972995712,95840.17454533324,94865.69072825,0
1768561200,95319.3,95472.3,95262.3,95426.9,95632.56087778526,95799.6446955883,94921.09966732636,0
1768564800,95426.9,95579.0,95354.0,95453.2,95625.81009448683,95796.37330291812,94921.59643721032,0
1768568400,95453.2,95579.5,95292.0,95448.5,95619.43590469605,95793.19290712448,94922.05458954052,0
1768572000,95448.5,95819.4,95189.0,95193.4,95609.49210606451,95791.04909277214,94922.16992153128,0
1768575600,95193.4,95675.0,94291.3,94584.0,95295.12277268636,95715.03484277058,94899.3857583548,-1
1768579200,94584.0,94994.0,94506.0,94877.1,95290.02373238312,95712.44270075968,94899.38283457355,0
1768582800,94877.1,95141.1,94566.4,95089.1,95286.69254566418,95708.91336839704,94899.4266955734,0
1768586400,95089.1,95230.5,94981.1,95011.1,95235.2445822926,95664.70082574818,94902.62587882832,0
1768590000,95011.1,95066.0,94839.0,95006.1,95189.82274830846,95617.63483583833,94905.9256494432,0
1768593600,95006.1,95568.4,94682.1,95565.0,95190.50407581848,95617.24699790856,94905.92778371825,0
1768597200,95565.0,95608.5,95361.4,95526.9,95191.8086160846,95616.42207486408,94905.93676376034,0
1768600800,95526.9,95589.2,95260.0,95517.9,95191.92636648074,95616.34543294668,94905.9368432667,0
1768604400,95517.9,95584.0,95431.9,95550.6,95214.71804119584,95603.58486175604,94908.37713388584,0
1768608000,95550.6,95584.3,95437.1,95468.0,95216.30596947431,95602.3708568036,94908.39777271796,0
1768611600,95468.0,95534.9,95388.3,95401.1,95217.98395729475,95600.62567993322,94908.43479197426,0
1768615200,95401.1,95422.0,95203.1,95365.1,95219.9376862011,95598.09787560962,94908.50499038276,0
1768618800,95365.1,95393.9,95271.4,95368.1,95221.47879541032,95596.13917532348,94908.54967689604,0
1768622400,95368.1,95369.7,95262.2,95308.0,95222.5938381218,95593.7321410731,94908.60774614956,0
1768626000,95308.0,95383.1,95281.0,95320.5,95223.6077291331,95591.81568450324,94908.64746215126,0
1768629600,95320.5,95349.0,95200.0,95235.7,95224.00019510268,95585.8467865077,94908.9808845288,0
1768633200,95235.7,95235.8,95043.9,95100.1,95222.44513773423,95583.56627996304,94909.00733051484,0
1768636800,95100.1,95258.5,95022.6,95247.2,95222.6323028824,95582.20181546776,94909.0252291732,0
1768640400,95247.2,95291.0,95174.0,95262.0,95222.900781162,95580.97664190397,94909.04054524392,0
1768644000,95262.0,95289.8,95116.4,95117.1,95222.24582751552,95579.86629067396,94909.04828829764,0
1768647600,95117.1,95318.2,95071.0,95318.2,95254.0342732506,95525.8942062068,94940.30894720508,0
1768651200,95318.2,95419.7,95234.8,95255.0,95254.0526465144,95523.30826940452,94940.40221337035,0
1768654800,95255.0,95440.0,95196.5,95440.0,95257.38286273132,95520.92697952544,94940.53504458796,0
1768658400,95440.0,95538.0,95350.0,95477.9,95311.01843988692,95495.39933615756,94965.06304778664,0
1768662000,95477.9,95645.8,95426.8,95577.9,95318.59479159344,95492.8897333728,94965.42667898691,0
1768665600,95577.9,95578.0,95222.0,95310.8,95317.44439910444,95479.94320411971,94971.88007835516,0
1768669200,95310.8,95443.0,95285.6,95363.9,95317.88023788342,95479.18298012132,94971.91142220152,0
1768672800,95363.9,95469.5,95342.1,95429.7,95318.42992593483,95478.7878619801,94971.9219477429,0
1768676400,95429.7,95429.8,95279.0,95291.4,95318.06114202064,95477.69142114914,94971.97358036276,0
1768680000,95291.4,95382.0,95282.7,95376.0,95318.34142254088,95477.3059915595,94971.98258338634,0
1768683600,95376.0,95408.9,95275.0,95303.9,95318.26781445116,95476.90068188948,94971.9907725244,0
1768687200,95303.9,95303.9,95037.8,95168.8,95303.64215671888,95468.42387403068,94973.6953224373,0
1768690800,95168.8,95217.0,95115.7,95144.0,95301.8779766646,95467.50363793423,94973.71388539416,0
1768694400,95144.0,95238.0,95067.1,95113.1,95291.66632642016,95462.74781536208,94974.0829411224,0
1768698000,95113.1,95113.2,94868.0,94964.9,95286.22226224872,95461.2773204528,94974.08079918809,0
1768701600,94964.9,95062.0,94872.1,95032.9,95261.96189448144,95451.73322138144,94974.56984160408,0
1768705200,95032.9,95210.8,95026.0,95200.3,95261.67444115366,95451.29021659456,94974.57452116454,0
1768708800,95200.3,95200.4,95075.3,95094.0,95260.45620514946,95450.59696584634,94974.58037560132,0
1768712400,95094.0,95259.9,95059.1,95190.1,95260.22520779113,95450.28444633853,94974.58262319966,0
1768716000,95190.1,95214.0,95141.8,95177.2,95259.98273658316,95450.0065627495,94974.5843012316,0
1768719600,95177.2,95190.0,95025.1,95038.0,95256.86652602252,95448.65090547768,94974.5951056163,0
1768723200,95038.0,95200.4,95021.7,95186.5,95254.55061431708,95445.45677922378,94974.8171502568,0
1768726800,95186.5,95290.4,95153.4,95270.1,95254.68404735044,95444.63824578408,94974.83706833664,0
1768730400,95270.1,95302.4,95083.6,95173.0,95253.4626523214,95443.2089525065,94974.87499685248,0
1768734000,95173.0,95192.0,95072.2,95176.7,95251.87745692756,95441.23339671006,94974.94420870222,0
1768737600,95176.7,95186.5,95080.1,95110.1,95235.5457484931,95429.38655317073,94976.53699501148,0
1768741200,95110.1,95205.0,94910.0,95151.9,95234.52131760457,95428.19327096564,94976.5601757976,0
1768744800,95151.9,95359.3,94927.2,94958.7,95164.6161085044,95394.79226915784,94975.68528413693,0
1768748400,94958.7,95115.8,94913.4,95111.1,95164.10081054107,95393.68162376428,94975.69665925704,0
1768752000,95111.1,95186.5,95065.1,95157.6,95164.02341318924,95392.31449137253,94975.71946523368,0
1768755600,95157.6,95271.5,95133.8,95264.8,95166.1311235633,95389.94921464576,94975.84328513897,0
1768759200,95264.8,95514.0,95152.0,95440.8,95170.04181945896,95388.38370973866,94975.9245974214,0
1768762800,95440.8,95516.0,95323.5,95375.6,95172.48221696836,95387.1021128111,94975.97444059432,0
1768766400,95375.6,95437.0,95282.1,95300.0,95173.67655791792,95386.10263307646,94976.00026526558,0
1768770000,95300.0,95432.3,95279.6,95425.7,95232.53738007272,95368.16982299431,94995.1355377364,0
1768773600,95425.7,95526.0,95403.2,95479.1,95238.1550394381,95366.6887007409,94995.33278733856,0
1768777200,95479.1,95492.0,93606.1,93660.6,95170.8614670812,95362.5120115642,94993.82961770771,0
1768780800,93660.6,93660.6,91889.7,92704.3,95038.68651612516,95353.83563768317,94990.30622041965,0
1768784400,92704.3,92873.8,92234.9,92572.8,94895.1023478755,95340.48002755373,94986.18757721852,0
1768788000,92572.8,92670.8,92372.2,92560.1,93535.51558021024,94814.99751980652,94572.87682342106,0
1768791600,92560.1,92782.6,92484.6,92693.6,93424.78246493448,94723.57336306931,94555.12887900886,0
1768795200,92693.6,92747.6,92485.3,92657.1,93380.41929320028,94684.76397416908,94551.92412600332,0
1768798800,92657.1,92814.2,92498.0,92511.3,93326.40671647292,94642.5555131566,94548.1798255978,0
1768802400,92511.3,92635.6,92380.8,92586.0,93283.03974999231,94602.74085911624,94544.81371695104,0
1768806000,92586.0,92885.5,92557.4,92843.2,93261.06330187104,94569.22262067512,94542.42307732896,0
1768809600,92843.2,93376.8,92700.0,93255.2,93260.84646596298,94545.02951772464,94541.25346079085,0
1768813200,93255.2,93267.2,92940.6,93049.2,93252.25500620544,94518.79043043172,94539.691577393,0
1768816800,93049.2,93085.2,92887.6,93066.3,93227.08657417378,94431.37637964958,94521.94341752084,0
1768820400,93066.3,93317.3,92971.1,93188.2,93225.40182014414,94405.25206114171,94520.31432411366,0
1768824000,93188.2,93231.0,93006.9,93070.9,93161.4857700867,94147.98444952175,94364.26544368496,0
1768827600,93070.9,93151.9,92796.8,93034.1,93155.7725296956,94125.73414160656,94362.65526937766,0
1768831200,93034.1,93041.2,92804.5,92957.1,93145.64999985776,94100.76609246648,94360.6287555978,0
